CIPCODE,CIPDESC,CIPDefinition
1435,Industrial Engineering.,A program that prepares individuals to apply scientific and mathematical principles to the design  improvement  and installation of integrated systems of people  material  information  and energy.  Includes instruction in applied mathematics  physical sciences  the social sciences  engineering analysis  systems design  computer applications  and forecasting and evaluation methodology.
2313,Rhetoric and Composition/Writing Studies.,A program that focuses on writing for applied and liberal arts purposes. Includes instruction in writing and document design in multiple genres  modes  and media; writing technologies; research  evaluation  and use of information; editing and publishing; theories and processes of composing; rhetorical theories  traditions  and analysis; communication across audiences  contexts  and cultures; and practical applications for professional  technical  organizational  academic  and public settings.
3001,Biological and Physical Sciences.,A program that is either a general synthesis of one or more of the biological and physical sciences  or a specialization which draws from the biological and physical sciences.
3015,Science  Technology and Society.,A program that focuses on the contemporary social and public policy ramifications of science and technology  the interrelationship of science and engineering with the public policy process  and the social and ethical dimensions of scientific and technological enterprises.
4004,Atmospheric Sciences and Meteorology.,A general program that focuses on the scientific study of the composition and behavior of the atmospheric envelopes surrounding the earth  the effect of earth's atmosphere on terrestrial weather  and related problems of environment and climate.  Includes instruction in atmospheric chemistry and physics  atmospheric dynamics  climatology and climate change  weather simulation  weather forecasting  climate modeling and mathematical theory; and studies of specific phenomena such as clouds  weather systems  storms  and precipitation patterns.
4010,Materials Sciences.,A program that focuses on the general application of mathematical and scientific principles to the analysis and evaluation of the characteristics and behavior of solids  including internal structure  chemical properties  transport and energy flow properties  thermodynamics of solids  stress and failure factors  chemical transformation states and processes  compound materials  and research on industrial applications of specific materials.
4099,Physical Sciences  Other.,Any instructional program in physical sciences not listed above.
4509,International Relations and National Security Studies.,A program that focuses on the systematic study of international politics and institutions  and the conduct of diplomacy and foreign policy. Includes instruction in international relations theory  foreign policy analysis  international law and organization  the comparative study of specific countries and regions  and the theory and practice of diplomacy.
5132,Health Professions Education  Ethics  and Humanities.,A program that focuses on the application of ethics  religion  jurisprudence  and the social sciences to the analysis of health care issues  clinical decision making  and research procedures. Includes instruction in philosophical ethics  moral value  medical sociology  theology  spirituality and health  policy analysis  decision theory  and applications to problems such as death and dying  therapeutic relationships  organ transplantation  human and animal subjects  reproduction and fertility  health care justice  cultural sensitivity  needs assessment  professionalism  conflict of interest  chaplaincy  and clinical or emergency procedures.
5213,Management Sciences and Quantitative Methods.,A general program that focuses on the application of statistical modeling  data warehousing  data mining  programming  forecasting and operations research techniques to the analysis of problems of business organization and performance. Includes instruction in optimization theory and mathematical techniques  data mining  data warehousing  stochastic and dynamic modeling  operations analysis  and the design and testing of prototype systems and evaluation models.
1107,Computer Science.,A program that focuses on computer theory  computing problems and solutions  and the design of computer systems and user interfaces from a scientific perspective. Includes instruction in the principles of computational science  computer development and programming  and applications to a variety of end-use situations.
1305,Educational/Instructional Media Design.,A program that focuses on integrating technology into educational curricula. Includes instruction in foundations of educational technology  computer applications  utilizing technology for assessment  multimedia instruction  web-based instruction  distance education  and designing and producing educational software and materials.
3103,Parks  Recreation  and Leisure Facilities Management.,A program that prepares individuals to develop and manage park facilities and other indoor and outdoor recreation and leisure facilities.  Includes instruction in supervising support personnel  health and safety standards  public relations  and basic business and marketing principles.
4499,Public Administration and Social Service Professions  Other.,Any instructional program in public administration and services not listed above.
5003,Dance.,A general program that prepares individuals to express ideas  feelings  and/or inner visions through the performance of one or more of the dance disciplines  including but not limited to ballet  modern  jazz  ethnic  and folk dance  and that focuses on the study and analysis of dance as a cultural phenomenon.  Includes instruction in  technique  choreography  Laban notation  dance history and criticism  and dance production.
301,Natural Resources Conservation and Research.,A general program that focuses on the studies and activities relating to the natural environment and its conservation  use  and improvement.  Includes instruction in subjects such as climate  air  soil  water  land  fish and wildlife  and plant resources; in the basic principles of environmental science and natural resources management; and the recreational and economic uses of renewable and nonrenewable natural resources.
501,Area Studies.,A program that focuses on the history  society  politics  culture  and economics of one or more of the peoples of the African Continent  usually with an emphasis on Africa south of the Sahara  and including the African diasporas overseas.
904,Journalism.,A program that focuses on the theory and practice of gathering  processing  and delivering news and that prepares individuals to be professional print journalists  news editors  and news managers.  Includes instruction in news writing and editing; reporting; photojournalism; layout and graphic design; journalism law and policy; professional standards and ethics; research methods; and journalism history and criticism.
907,Radio  Television  and Digital Communication.,A program that focuses on the theories  methods  and techniques used to plan  produce  and distribute audio and video programs and messages  and that prepares individuals to function as staff  producers  directors  and managers of radio and television shows and media organizations.  Includes instruction in media aesthetics; planning  scheduling  and production; writing and editing; performing and directing; personnel and facilities management; marketing and distribution; media regulations  law  and policy; and principles of broadcast technology.
909,Public Relations  Advertising  and Applied Communication.,A general program that focuses on organizational communication  public relations  and advertising; and that prepares individuals to function in a wide range of public and private sector positions requiring the skills of persuasive communication. Includes instruction in communications  public relations  and advertising theory; principles and techniques of persuasion; message/image design; marketing strategy; professional writing; public speaking and multi-media presentation skills; digital communications; and applied research.
1404,Architectural Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of materials  systems  and methods used to construct and equip buildings intended for human habitation or other purposes.
1411,Engineering Mechanics.,A program with a general focus on the application of the mathematical and scientific principles of classical mechanics to the analysis and evaluation of the behavior of structures  forces and materials in engineering problems.  Includes instruction in statics  kinetics  dynamics  kinematics  celestial mechanics  stress and failure  and electromagnetism.
1414,Environmental/Environmental Health Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of systems for controlling contained living environments and for monitoring and controlling factors in the external natural environment  including pollution control  waste and hazardous material disposal  health and safety protection  conservation  life support  and requirements for protection of special materials and related work environments.
1420,Metallurgical Engineering.,A program that prepares individuals to apply mathematical and metallurgical principles to the design  development and operational evaluation of metal components of structural  load-bearing  power  transmission  and moving systems; and the analysis of engineering problems such as stress  creep  failure  alloy behavior  environmental fluctuations  stability  electromagnetic and thermodynamic characteristics  optimal manufacturing processes  and related design considerations.
1433,Construction Engineering.,A program that prepares individuals to apply scientific  mathematical  and management principles to the planning  design  and building of facilities and structures.  Includes instruction in civil engineering  structural principles  site analysis  computer-assisted design  geology  evaluation and testing  materials  contracting  project management  graphic communications  and applicable laws and regulations.
1605,Germanic Languages  Literatures  and Linguistics  General.,A general program that focuses on one or more of the Germanic languages of Western  Central  and Northern Europe.  Includes instruction in philology; linguistics; dialects and pidgins; literature; and applications to business  science/technology  and other settings.
1904,Family and Consumer Economics and Related Studies.,A general program that focuses on the design and implementation of policies and processes contributing to successful individual and family resource management.  Includes instruction in financial goal-setting and strategies; household income  assets  and debt management; preventing and resolving financial difficulties; and the use of relevant public resources.
1905,Foods  Nutrition  and Related Services.,A general program that focuses on the role of foods and nutrition in human health and wellness.  Includes instruction in nutritional care and education  the planning and provision of food services  the development of consumable food products  life-span nutrition and wellness  the principles of nutritional assessment  and food safety and food composition.
1909,Apparel and Textiles.,A general program that focuses on the development of textile products and their distribution and use in terms of the psychological  social  economic  and physical needs of consumers.  Includes instruction in the production  distribution  marketing  and end use of various apparel and textile products.
2201,Law.,A program that prepares individuals for the independent professional practice of law  for taking state and national bar examinations  and for advanced research in jurisprudence.  Includes instruction in the theory and practice of the legal system  including the statutory  administrative  and judicial components of civil and criminal law.
2202,Legal Research and Advanced Professional Studies.,An integrated or undifferentiated program in one or more of  the legal research or advanced practice fields.
2501,Library Science and Administration.,A program that focuses on the knowledge and skills required to develop  organize  store  retrieve  administer  and facilitate the use of local  remote  and networked collections of information in print  audiovisual  and electronic formats and that prepares individuals for professional service as librarians and information consultants.
2705,Statistics.,A general program that focuses on the relationships between groups of measurements  and similarities and differences  using probability theory and techniques derived from it.  Includes instruction in the principles in probability theory  binomial distribution  regression analysis  standard deviation  stochastic processes  Monte Carlo method  Bayesian statistics  non-parametric statistics  sampling theory  and statistical techniques.
3000,Multi-/Interdisciplinary Studies  General.,A program that derives from two or more distinct programs and that is integrated around a unifying theme or topic that cannot be subsumed under a single discipline or occupational field.
3020,International/Globalization Studies.,A program that focuses on global and international issues from the perspective of the social sciences  social services  and related fields.
4006,Geological and Earth Sciences/Geosciences.,A program that focuses on the scientific study of the earth; the forces acting upon it; and the behavior of the solids  liquids and gases comprising it.  Includes instruction in historical geology  geomorphology  and sedimentology  the chemistry of rocks and soils  stratigraphy  mineralogy  petrology  geostatistics  volcanology  glaciology  geophysical principles  and applications to research and industrial problems.
4504,Criminology.,A program that focuses on the systematic study of crime as a sociopathological phenomenon  the behavior of criminals  and the social institutions evolved to respond to crime.  Includes instruction in the theory of crime  psychological and social bases of criminal behavior  social value systems and the theory of punishment  criminal law and criminal justice systems  penology  rehabilitation and recidivism  studies of specific types of crime  social attitudes and policy  and applications to specific issues in law enforcement administration and policy.
4507,Geography and Cartography.,A program that focuses on the systematic study of the spatial distribution and interrelationships of people  natural resources  plant and animal life.  Includes instruction in historical and political geography  cultural geography  economic and physical geography  regional science  cartographic methods  remote sensing  spatial analysis  and applications to areas such as land-use planning  development studies  and analyses of specific countries  regions  and resources.
5004,Design and Applied Arts.,A program in the applied visual arts that focuses on the general principles and techniques for effectively communicating ideas and information  and packaging products  in digital and other formats to business and consumer audiences  and that may prepare individuals in any of the applied art media.
5199,Health Professions and Related Clinical Sciences  Other.,Reserved for use by Statistics Canada. This CIP code is not valid for IPEDS reporting.
5209,Hospitality Administration/Management.,A program that prepares individuals to serve as general managers and directors of hospitality operations on a system-wide basis  including both travel arrangements and promotion and the provision of traveler facilities.  Includes instruction in principles of operations in the travel and tourism  hotel and lodging facilities  food services  and recreation facilities industries; hospitality marketing strategies; hospitality planning; management and coordination of franchise and unit operations; business management; accounting and financial management; hospitality transportation and logistics; and hospitality industry policies and regulations.
5216,Taxation.,A program that prepares individuals to provide tax advice and management services to individuals and corporations.  Includes instruction in tax law and regulations  tax record systems  individual and corporate income taxation  tax planning  partnerships and fiduciary relationships  estates and trusts  property depreciation  capital gains and losses  dispositions  transfers  liquidity  valuation  and applications to specific tax problems.
1204,Cosmetology and Related Personal Grooming Services.,A program that generally prepares individuals to cut  trim  and style scalp  facial  and body hair; apply cosmetic preparations; perform manicures and pedicures; massage the head and extremities; and prepare for practice as licensed cosmetologists in specialized or full-service salons.  Includes instruction in hair cutting and styling  manicuring  pedicuring  facial treatments  shampooing  chemical applications  esthetics  shop management  sanitation and safety  customer service  and applicable professional and labor laws and regulations.
1506,Industrial Production Technologies/Technicians.,A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using industrial polymers.  Includes instruction in the principles of macromolecular chemistry  polymerization and plastic manufacturing processes and equipment  design and operational testing procedures  equipment maintenance and repair procedures  safety procedures  applications to specific products  and report preparation.
1513,Drafting/Design Engineering Technologies/Technicians.,A program that prepares individuals to generally apply technical skills to create working drawings and computer simulations for a variety of applications.  Includes instruction in specification interpretation  dimensioning techniques  drafting calculations  material estimation  technical communications  computer applications  and interpersonal communications.
4701,Electrical/Electronics Maintenance and Repair Technologies/Technicians.,A  program that generally prepares individuals to apply technical knowledge and skills to operate  maintain  and repair electrical and electronic equipment.  Includes instruction in electrical circuitry  simple gearing  linkages and lubrication of machines and appliances  and the use of testing equipment.
4805,Precision Metal Working.,A program that prepares individuals to apply technical knowledge and skills to plan  manufacture  assemble  test  and repair parts  mechanisms  machines  and structures in which materials are cast  formed  shaped  molded  heat treated  cut  twisted  pressed  fused  stamped or worked.
5139,Practical Nursing  Vocational Nursing and Nursing Assistants.,A program that prepares individuals to assist in providing general nursing care under the direction of a registered nurse  physician or dentist.  Includes instruction in taking patient vital signs  applying sterile dressings  patient health education  and assistance with examinations and treatment.
5204,Business Operations Support and Assistant Services.,A program that generally prepares individuals to perform the duties of administrative assistants and/or secretaries and stenographers.  Includes instruction in business communications  principles of business law  word processing and data entry  office machines operation and maintenance  office procedures  public relations  secretarial accounting  filing systems and records management  and report preparation.
1399,Education  Other.,Any instructional program in education not listed above.
1504,Electromechanical Technologies/Technicians.,A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in developing biological or medical systems and products.  Includes instruction in instrument calibration  design and installation testing  system safety and maintenance procedures  procurement and installation procedures  and report preparation.
3018,Natural Sciences.,A program with a combined or undifferentiated focus on one or more of the physical and biological sciences.
4199,Science Technologies/Technicians  Other.,Any instructional program in science technologies not listed above.
4302,Fire Protection.,A program focusing on the application of fire science and technology to problems of reducing fire risk  limiting loss  supervising substance removal  conducting safety inspections and investigations  and advising on matters of safety procedures and fire prevention policy.  Includes instruction in fire behavior  fire simulation  structural risk assessment  materials analysis  detection and suppression systems  smoke management  supply and evacuation  public education  legal aspects of fire prevention  and related research and communications methods.
4501,Social Sciences  General.,A program that focuses on the general study of human social behavior and social institutions using any of the methodologies common to the social sciences and/or history  or an undifferentiated program of study in the social sciences.
5201,Business/Commerce  General.,A program that focuses on the general study of business  including the processes of interchanging goods and services (buying  selling and producing)  business organization  and accounting as used in profit-making and nonprofit public and private institutions and agencies.  The programs may prepare individuals to apply business principles and techniques in various occupational settings.
5299,Business  Management  Marketing  and Related Support Services  Other.,Any instructional program in business  management  marketing and related support services not listed above.
3201,Basic Skills and Developmental/Remedial Education.,A general program that focuses on the fundamental knowledge and skills that individuals need to function productively in society. This CIP code is not valid for IPEDS reporting.
4001,Physical Sciences  General.,A program that focuses on the major topics  concepts  processes  and interrelationships of physical phenomena as studied in any combination of physical science disciplines.
4303,Homeland Security.,A program focusing on security policy  planning and operations dedicated to the protection of U.S. territory  assets  infrastructure  institutions and citizens from external threats.  Includes instruction in national security policy  government relations  intelligence  law enforcement  security technology  communications and information technology  homeland security planning and operations  disaster planning and applications to specific threat scenarios.
4506,Economics.,A general program that focuses on the systematic study of the production  conservation and allocation of resources in conditions of scarcity  together with the organizational frameworks related to these processes.  Includes instruction in economic theory  micro- and macroeconomics  comparative economic systems  money and banking systems  international economics  quantitative analytical methods  and applications to specific industries and public policy issues.
5211,International Business.,A program that prepares individuals to manage international businesses and/or business operations.  Includes instruction in the principles and processes of export sales  trade controls  foreign operations and related problems  monetary issues  international business policy  and applications to doing business in specific countries and markets.
101,Agricultural Business and Management.,A  general program that focuses on modern business and economic principles involved in the organization  operation  and management of agricultural enterprises.
103,Agricultural Production Operations.,A program that focuses on the general planning  economics  and use of facilities  natural resources  equipment  labor  and capital to produce plant and animal products  and that may prepare individuals for work in farming  ranching  and agribusiness.
180,Veterinary Medicine.,A program that prepares individuals for the independent professional practice of veterinary medicine  involving the diagnosis  treatment  and health care management of animals and animal populations and the prevention and management of zoonosis.  Includes instruction in the veterinary basic sciences  infectious and noninfectious disease  diagnostic procedures  veterinary clinical medicine  obstetrics  radiology  anesthesiology  surgery  toxicology  animal health and preventive medicine  clinical nutrition  practice management  and professional standards and ethics.
302,Environmental/Natural Resources Management and Policy.,A program that prepares individuals to plan  develop  manage  and evaluate programs to protect and regulate natural habitats and renewable natural resources.  Includes instruction in the principles of wildlife and conservation biology  environmental science  animal population surveying  natural resource economics  management techniques for various habitats  applicable law and policy  administrative and communications skills  and public relations.
306,Wildlife and Wildlands Science and Management.,A program that prepares individuals to conserve and manage wilderness areas and the flora  marine and aquatic life therein  and manage wildlife reservations and zoological/aquarium facilities for recreational  commercial  and ecological purposes. Includes instruction in wildlife biology  marine/aquatic biology  environmental science   freshwater and saltwater ecosystems  natural resources management and policy  outdoor recreation and parks management  the design and operation of natural and artificial wildlife habitats  applicable law and regulations  and related administrative and communications skills.
402,Pre-Architecture Studies.,A program of study that is a precursor to an advanced degree in architecture. Includes instruction in architectural design  architectural graphics  architectural history  architectural technology  architectural theory and criticism  building technology  calculus  design studio  human factors  environmental architecture  geometry and trigonometry  physics  and technical drawing.
404,Environmental Design.,A program that prepares individuals to design public and private spaces  indoor and outdoor  for leisure  recreational  commercial  and living purposes  and for professional practice as environmental designers and architects.  Includes instruction in the design and planning of public and private open spaces and their relationship to buildings and other aspects of the built environment; facilities management; related aspects of interior design and architecture  landscape architecture  and urban planning; and professional responsibilities and standards.
405,Interior Architecture.,A program that prepares individuals to apply architectural principles in the design of structural interiors for living  recreational  and business purposes and to function as professional interior architects.  Includes instruction in architecture  structural systems design  heating and cooling systems  occupational and safety standards  interior design  specific end-use applications  and professional responsibilities and standards.
406,Landscape Architecture.,A program that prepares individuals for the independent professional practice of landscape architecture and research in various aspects of the field.  Includes instruction in geology and hydrology; soils  groundcovers  and horticultural elements; project and site planning; landscape design  history  and theory; environmental design; applicable law and regulations; and professional responsibilities and standards.
410,Real Estate Development.,A program that prepares individuals to create and redevelop housing  offices  retail centers  and industrial sites.  Includes instruction in architectural design and construction  historic preservation  landscape architecture  urban planning and design  business  real estate and land use law  public policy  and engineering.
1432,Polymer/Plastics Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of synthesized macromolecular compounds and their application to specific engineering uses  including the development of industrial materials with tailored properties  the design of lightweight structural components  the use of liquid or solid polymers  and the analysis and control of polymerization processes.
1445,Biological/Biosystems Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and management of biological systems; and includes applications to biology  biochemistry  ecology  and microbiology. Includes instruction in organic chemistry; microbiology; biochemistry; chemical  biological  biochemical  and process engineering; thermodynamics; process control; kinetics and reactor design; electric circuits; biosystem modeling; and bioelectronics and instrumentation.
1999,Family and Consumer Sciences/Human Sciences  Other.,Any instructional program in family and consumer sciences/human sciences not listed above.
2607,Zoology/Animal Biology.,A general program that focuses on the scientific study of the biology of animal species and phyla  with reference to their molecular and cellular systems  anatomy  physiology  and behavior.  Includes instruction in molecular and cell biology  microbiology  anatomy and physiology  ecology and behavior  evolutionary biology  and applications to specific species and phyla.
4901,Air Transportation.,A program that focuses on the general study of aviation and the aviation industry  including in-flight and ground support operations.  Includes instruction in the technical  business  and general aspects of air transportation systems.
5120,Pharmacy  Pharmaceutical Sciences  and Administration.,A program that prepares individuals for the independent or employed practice of preparing and dispensing drugs and medications in consultation with prescribing physicians and other health care professionals  and for managing pharmacy practices and counseling patients.   Includes instruction in mathematics  physics  chemistry  biochemistry  anatomy  physiology  pharmacology  pharmaceutical chemistry  pharmacognosy  pharmacy practice  pharmacy administration  applicable regulations  and professional standards and ethics.
5124,Veterinary Medicine.,Moved from 51.24 to 01.80
5125,Veterinary Biomedical and Clinical Sciences.,Moved from 51.25 to 01.81
4399,Homeland Security  Law Enforcement  Firefighting and Related Protective Services  Other.,Any instructional program in homeland security  law enforcement  firefighting  and related protective services not listed above.
5108,Allied Health and Medical Assisting Services.,A program that prepares individuals  under the supervision of physicians  to provide medical office administrative services and perform clinical duties including patient intake and care  routine diagnostic and recording procedures  pre-examination and examination assistance  and the administration of medications and first aid.  Includes instruction in basic anatomy and physiology; medical terminology; medical law and ethics; patient psychology and communications; medical office procedures; and clinical diagnostic  examination  testing  and treatment procedures.
3017,Behavioral Sciences.,A program with a combined or undifferentiated focus on the social sciences  psychology  and biomedical sciences to study complex problems of human individual and social growth and behavior.
2203,Legal Support Services.,A program that prepares individuals to serve as legal office managers  special assistants  and legal secretaries.  Includes instruction in office management  secretarial science  principles of U.S. or Canadian law  legal terminology and documentation  legal research  legal software applications  law office procedures  record-keeping  billing  applicable policies and regulations  and professional standards and ethics.
1512,Computer Engineering Technologies/Technicians.,A program that prepares individuals to apply basic engineering principles and technical skills in support of computer engineers engaged in designing and developing computer systems and installations.  Includes instruction in computer electronics and programming  prototype development and testing  systems installation and testing  solid state and microminiature circuitry  peripheral equipment  and report preparation.
4706,Vehicle Maintenance and Repair Technology/Technician  General.,A program that generally prepares individuals to apply technical knowledge and skills in the adjustment  maintenance  part replacement  and repair of vehicles and mobile equipment.
106,Applied Horticulture and Horticultural Business Services.,A program that focuses on the general production and processing of domesticated plants  shrubs  flowers  foliage  trees  groundcovers  and related plant materials; the management of technical and business operations connected with horticultural services; and the basic scientific principles needed to understand plants and their management and care.
183,Veterinary/Animal Health Technologies/Technicians.,A program that prepares individuals  under the supervision of veterinarians  laboratory animal specialists  and zoological professionals  to provide patient management  care  and clinical procedures assistance as well as owner communication.  Includes instruction in animal nursing care  animal health and nutrition  animal handling  clinical pathology  radiology  anesthesiology  dental prophylaxis  surgical assisting  clinical laboratory procedures  office administration skills  patient and owner management  and applicable standards and regulations.
1003,Graphic Communications.,A program that generally prepares individuals to apply technical knowledge and skills in the manufacture and distribution or transmission of graphic communications products.  Includes instruction in the prepress  press  and postpress phases of production operations and processes such as offset lithography  flexography  gravure  letterpress  screen printing  foil stamping  digital imaging  and other reproduction methods.
1505,Environmental Control Technologies/Technicians.,A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using air conditioning  refrigeration  ventilation  and heating systems. Includes instruction in principles of heating and cooling technology  design and operational testing  inspection and maintenance procedures  installation and operation procedures  and report preparation.
4604,Building/Construction Finishing  Management  and Inspection.,A program that prepares individuals to apply technical knowledge and skills to keep a building functioning  and to service a variety of structures including commercial and industrial buildings and mobile homes. Includes instruction in the basic maintenance and repair skills required to service  building systems  such as air conditioning  heating  plumbing  electrical  major appliances  and other mechanical systems.
4703,Heavy/Industrial Equipment Maintenance Technologies/Technicians.,A program that prepares individuals to apply technical knowledge and skills in the field maintenance and repair of heavy equipment  and in the general maintenance and overhaul of such equipment.  Includes instruction in inspection  maintenance  and repair of tracks  wheels  brakes  operating controls  pneumatic and hydraulic systems  electrical circuitry  engines and in techniques of welding and brazing.
4799,Mechanic and Repair Technologies/Technicians  Other.,Any instructional program in mechanic and repair technologies not listed above.
4807,Woodworking.,A program that generally prepares individuals to apply technical knowledge and skills to lay out and shape stock; assemble wooden articles or subassemblies; mark  bind  saw  carve  and sand wooden products; repair wooden articles  and use a variety of hand and power tools.
5215,Real Estate.,A program that prepares individuals to develop  buy  sell  appraise  and manage real estate. Includes instruction in land use development policy  real estate law  real estate marketing procedures  agency management  brokerage  property inspection and appraisal  real estate investing  leased and rental properties  commercial real estate  and property management.
2200,Legal Studies.,A program of study that focuses on law and legal issues from the perspective of the social sciences and humanities.
2299,Legal Professions and Studies  Other.,Any program in law  legal services  and legal studies not listed above.
3028,Dispute Resolution.,A program that provides individuals with skills in negotiation  mediation  and arbitration  that can be applied to resolve disputes in a variety of settings  including business  legal  domestic  and labor relations.
3800,Philosophy and Religious Studies  General.,A general program that combines the study of philosophy and religious studies. Includes instruction in logic; ethics; epistemology; symbolism; phenomenology; the sociology  psychology  philosophy  anthropology  literature  and art of religion; and world religions.
3903,Missions/Missionary Studies and Missiology.,A program that focuses on the theory and practice of religious outreach  social service and proselytization  and that prepares individuals for mission vocations.  Includes instruction in theology  evangelism  preaching  medical and social mission work  missionary education  missionary aviation  emergency services  legal and political aspects of working in other countries  and preparation for ordination as missionaries.
4299,Psychology  Other.,Any instructional program in psychology not listed above.
5111,Health/Medical Preparatory Programs.,A program that prepares individuals for admission to a professional program in dentistry.
1502,Civil Engineering Technologies/Technicians.,A program that prepares individuals to apply basic engineering principles and technical skills in support of civil engineers engaged in designing and executing public works projects such as highways  dams  bridges  tunnels and other facilities.  Includes instruction in site analysis  structural testing procedures  field and laboratory testing procedures  plan and specification preparation  test equipment operation and maintenance  and report preparation.
4601,Mason/Masonry.,A program that prepares individuals to apply technical knowledge and skills in the laying and/or setting of exterior brick  concrete block  hard tile  marble and related materials  using trowels  levels  hammers  chisels  and other hand tools. Includes instruction in technical mathematics  blueprint reading  structural masonry  decorative masonry  foundations  reinforcement  mortar preparation  cutting and finishing  and applicable codes and standards.
4602,Carpenters.,A program that prepares individuals to apply technical knowledge and skills to lay out  cut  fabricate  erect  install  and repair wooden structures and fixtures  using hand and power tools.  Includes instruction in technical mathematics  framing  construction materials and selection  job estimating  blueprint reading  foundations and roughing-in  finish carpentry techniques  and applicable codes and standards.
4603,Electrical and Power Transmission Installers.,A program that generally prepares individuals to apply technical knowledge and skills to install indoor and outdoor residential  commercial  and industrial electrical systems  and associated power transmission lines.  Includes instruction in electricity  safety procedures  wiring  insulation and grounding  schematic blueprint interpretation  equipment operation and maintenance  and applicable codes and standards.
5135,Somatic Bodywork and Related Therapeutic Services.,A program that prepares individuals to provide relief and improved health and well-being to clients through the application of manual techniques for manipulating skin  muscles  and connective tissues.  Includes instruction in Western (Swedish) massage  sports massage  myotherapy/trigger point massage  myofascial release  deep tissue massage  cranio-sacral therapy  reflexology  massage safety and emergency management  client counseling  practice management  applicable regulations  and professional standards and ethics.
4102,Nuclear and Industrial Radiologic Technologies/Technicians.,A program that prepares individuals to apply scientific principles and technical skills to the operation of industrial and research testing equipment using radioisotopes.  Includes instruction in x-ray analysis of materials  nondestructive testing and inspection of materials  and continuous measurement of paper or metal thickness.
1205,Cooking and Related Culinary Arts  General.,A program that focuses on the general study of the cooking and related culinary arts  and that may prepare individuals for a variety of jobs within the food service industry.  Includes instruction in food preparation  cooking techniques  equipment operation and maintenance  sanitation and safety  communication skills  applicable regulations  and principles of food service management.
1500,Engineering Technologies/Technicians  General.,A program that generally prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in a wide variety of projects. Includes instruction in various engineering support functions for research  production  and operations  and applications to specific engineering specialties.
4700,Mechanics and Repairers  General.,A program that generally prepares individuals to apply technical knowledge and skills in the adjustment  maintenance  part replacement  and repair of tools  equipment  and machines.
4702,Heating  Air Conditioning  Ventilation and Refrigeration Maintenance Technology/Technician (HAC  HACR  HVAC  HVACR).,A program that prepares individuals to apply technical knowledge and skills to repair  install  service and maintain the operating condition of heating  air conditioning  and refrigeration systems.  Includes instruction in diagnostic techniques  the use of testing equipment and the principles of mechanics  electricity  and electronics as they relate to the repair of heating  air conditioning and refrigeration systems.
1102,Computer Programming.,A program that focuses on the general writing and implementation of generic and customized programs to drive operating systems and that generally prepares individuals to apply the methods and procedures of software design and programming  to software installation and maintenance.  Includes instruction in software design  low- and high-level languages and program writing; program customization and linking; prototype testing; troubleshooting; and related aspects of operating systems and networks.
1109,Computer Systems Networking and Telecommunications.,A program that focuses on the design  implementation  and management of linked systems of computers  peripherals  and associated software to maximize efficiency and productivity  and that prepares individuals to function as network specialists and managers at various levels.  Includes instruction in operating systems and applications; systems design and analysis; networking theory and solutions; types of networks; network management and control; network and flow optimization; security; configuring; and troubleshooting.
3904,Religious Education.,A program that focuses on the theory and practice of providing educational services to members of faith communities  within the context of a particular religion  and that prepares individuals to serve as religious educators.  Includes instruction in planning and teaching lessons  organizing and supervising instructional activities  designing and developing instructional materials  and administering religious education programs and facilities.
4605,Plumbing and Related Water Supply Services.,A program that prepares individuals to design  install  and test industrial and commercial piping systems and automatic fire and exposure protection systems.  Includes instruction in water systems  steam systems  heating and cooling systems  lubricating systems  piping materials  installation tools operation and maintenance  valve installation and repair  technical mathematics  blueprint interpretation  and applicable codes and standards.
4803,Leatherworking and Upholstery.,A program that prepares individuals to apply technical knowledge and skills to install springs  filling  padding  covering and finishing on items such as furniture  automobile seats  caskets  mattresses  and bedsprings.
1507,Quality Control and Safety Technologies/Technicians.,A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in maintaining job-related health and safety standards.  Includes instruction in safety engineering principles  inspection and monitoring procedures  testing and sampling procedures  laboratory techniques  applications to specific work environments  and report preparation.
1599,Engineering/Engineering-Related Technologies/Technicians  Other.,Any instructional program in engineering technologies and engineering-related fields not listed above.
3101,Parks  Recreation  and Leisure Studies.,A program that focuses on the principles underlying recreational and leisure activities  and the practices involved in providing indoor and outdoor recreational facilities and services for the general public.
1203,Funeral Service and Mortuary Science.,A program that generally prepares individuals for careers in the funeral service industry and for licensure as funeral service directors or morticians.  Includes instruction in the basic elements of mortuary science and the business  counseling  and operational aspects of funeral service.
105,Agricultural and Domestic Animal Services.,A program that prepares individuals to provide cosmetic services for household pets  show animals  work animals and animal athletes.  Includes instruction in skin  coat  and pelt grooming and styling; skin care; hoof  nail  and claw care; animal massage; minor first aid and veterinary referral; animal grooming products and applications; health and safety; and applicable regulations.
