UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,NPCURL,NUMBRANCH,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,ADM_RATE_ALL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG_ALL,UGDS,PPTUG_EF,CURROPER,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,PFTFAC,MN_EARN_WNE_P6,MD_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MD_EARN_WNE_P8,MN_EARN_WNE_P9,MN_EARN_WNE_P10,MD_EARN_WNE_P10
113980,119700,1197,El Camino Community College District,Torrance,CA,90506,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.elcamino.edu/,www.finaid.org/calculators/studentbudget.phtml,1,1,33.885229,-118.329913,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,17979,0.6182,1,1144,7600,\N,0.4259,26800,31801,29800,31900,35428,33200,36900,39117
114114,2609000,26090,Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,90403,Accrediting Commission for Acupuncture and Oriental Medicine,www.emperors.edu/,\N,1,3,34.030438,-118.485119,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
114123,903200,9032,Empire College,Santa Rosa,CA,95403-2126,Accrediting Council for Independent Colleges and Schools,https://www.empcol.edu/,https://empcol.edu/files/empire/GE2017/NetPriceCalculator/npcalc.htm,1,3,38.468052,-122.729337,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,166,0.1145,1,\N,\N,25926,0.3333,29600,34896,28900,31300,35872,35200,33700,38931
114266,1245200,12452,Evergreen Valley College,San Jose,CA,95135-1598,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.evc.edu/,https://misweb.cccco.edu/npc/471/npcalc.htm,1,1,37.30167,-121.76561,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7593,0.6956,1,1448,9128,\N,0.3515,30400,38103,32700,36000,44930,36300,44100,45333
114354,1111200,11112,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,90015-1421,Western Association of Schools and Colleges Senior Colleges and University Commission,www.fidm.edu/,https://npc.collegeboard.org/student/app/fidm,4,3,34.044209,-118.25993,0.3864,0.382,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1847,0.1446,1,32645,32645,\N,0.0711,37300,39776,35600,40500,45466,38200,42400,45551
114390,1111202,11112,FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA,94108-5805,\N,www.fidm.edu/,https://npc.collegeboard.org/student/app/fidm,4,3,37.786353,-122.406651,0.322,0.382,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,113,0.1327,0,32645,32645,\N,0,37300,39776,35600,40500,45466,38200,42400,45551
114433,859700,8597,Feather River Community College District,Quincy,CA,95971-9124,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.frc.edu/,https://misweb.cccco.edu/npc/121/npcalc.htm,1,1,39.953101,-120.973067,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1173,0.6965,1,1465,9865,\N,0.1842,25400,28983,24900,28700,29669,29800,34600,33934
114460,725300,7253,Federico Beauty Institute,Sacramento,CA,95834,National Accrediting Commission of Career Arts and Sciences,federico.edu/,www.federico.edu/disclosures,1,3,38.64883,-121.497761,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,303,0.3861,1,\N,\N,18485,\N,28100,24451,25100,25100,24909,24800,32200,28480
114549,2096100,20961,Fielding Graduate University,Santa Barbara,CA,93105-3538,Western Association of Schools and Colleges Senior Colleges and University Commission,www.fielding.edu/,www.fielding.edu/how-to-apply/tuition-financial-aid/,1,2,34.42941,-119.717161,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,0.3432,\N,\N,\N,\N,\N,\N,\N,\N
114585,3131300,31313,Five Branches University,Santa Cruz,CA,95062,Accrediting Commission for Acupuncture and Oriental Medicine,www.fivebranches.edu/,www.fivebranches.edu/,2,3,36.964348,-121.998245,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,0.0328,\N,\N,\N,\N,\N,\N,\N,\N
114637,720900,7209,Redondo Beach Beauty College,Torrance,CA,90505,National Accrediting Commission of Career Arts and Sciences,rbbeautycollege.com/,https://login.homesteadschools.com/rbbcalc/,1,3,33.873098,-118.372137,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,67,0,1,\N,\N,11200,\N,\N,\N,\N,\N,\N,\N,\N,\N
114716,119900,1199,Foothill College,Los Altos Hills,CA,94022,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,https://foothill.edu/,https://misweb.cccco.edu/npc/422/npcalc.htm,1,1,37.361655,-122.127964,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12519,0.6954,1,1563,10248,\N,0.3208,44000,45865,53100,55800,44241,56300,58300,58157
114734,1179200,11792,Franciscan School of Theology,San Diego,CA,92110,Western Association of Schools and Colleges Senior Colleges and University Commission,www.fst.edu/,www.fst.edu/admissions-aid/tuition-fees/,2,2,32.770816,-117.192073,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
114761,2230900,22309,Fredrick and Charles Beauty College,Eureka,CA,95501,National Accrediting Commission of Career Arts and Sciences,www.fandcbeauty.com/,www.fandcbeauty.com/,1,3,40.798885,-124.164986,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,53,0,1,\N,\N,14500,\N,\N,25136,\N,\N,18120,\N,20200,16919
114789,130700,1307,Fresno City College,Fresno,CA,93741,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.fresnocitycollege.edu/,https://misweb.cccco.edu/npc/571/npcalc.htm,1,1,36.768164,-119.796096,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18448,0.7152,1,1304,8264,\N,0.3765,25100,26535,26800,28700,30216,29700,33200,32786
114813,125300,1253,Fresno Pacific University,Fresno,CA,93702-4709,Western Association of Schools and Colleges Senior Colleges and University Commission,www.fresno.edu/,https://tcc.noellevitz.com/(S(2udqcz4v5juwacioemspbydx))/Fresno Pacific University/Freshman Students,1,2,36.726831,-119.735199,0.6694,0.6694,470,560,460,550,440,525,515,505,483,16,22,15,21,16,22,\N,\N,19,18,19,\N,1019,2711,0.1594,1,33452,33452,\N,0.5852,38400,42603,36500,41300,48626,40700,45600,49071
114840,120000,1200,Fuller Theological Seminary,Pasadena,CA,91182,Western Association of Schools and Colleges Senior Colleges and University Commission,www.fuller.edu/,fuller.edu/paying-for-grad-school/,1,2,34.14778,-118.140261,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,0.9355,\N,\N,\N,\N,\N,\N,\N,\N
114859,120100,1201,Fullerton College,Fullerton,CA,92832-2095,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.fullcoll.edu/,https://misweb.cccco.edu/npc/862/npcalc.htm,1,1,33.875514,-117.918255,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,19548,0.5857,1,1154,7514,\N,0.3753,28900,32900,29700,34600,35796,35900,38500,40856
114938,120200,1202,Gavilan College,Gilroy,CA,95020,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,https://www.gavilan.edu/,https://www.gavilan.edu/finaid/1819_cost_estimates.php,1,1,36.972627,-121.569842,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3849,0.6116,1,1166,7214,\N,0.3049,27900,34017,29400,32800,35492,30800,37000,37249
114947,2231900,22319,Gemological Institute of America-Carlsbad,Carlsbad,CA,92008,Accrediting Commission of Career Schools and Colleges,www.gia.edu/gem-education,www.gia.edu/net-price-calculator,2,2,33.131313,-117.318765,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,29,0,1,\N,\N,21000,\N,39700,37355,41100,42100,41197,42000,50100,46193
115001,120300,1203,Glendale Community College,Glendale,CA,91208-2894,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,https://www.glendale.edu/,https://misweb.cccco.edu/npc/731/npcalc.htm,1,1,34.16745,-118.227666,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,11583,0.4538,1,1175,7535,\N,0.3227,28600,31011,30200,33800,32822,34000,41100,39367
115010,2338500,23385,Glendale Career College,Glendale,CA,91203,Accrediting Bureau of Health Education Schools,www.success.edu/,nw.edu/ecamp/npc-nwc/npcalc.htm,3,3,34.149771,-118.254719,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,632,0,1,\N,\N,71838,0.2828,31700,32855,29200,31100,36985,29300,32300,34021
115083,120500,1205,Golden Gate University,San Francisco,CA,94105-2968,Western Association of Schools and Colleges Senior Colleges and University Commission,www.ggu.edu/,www.ggu.edu/undergraduate/enrollment/financial-aid/net-price-calculator,3,2,37.789374,-122.398969,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,586,0.273,1,\N,\N,\N,1,72900,75134,65000,81800,81610,70900,82300,79744
115126,120600,1206,Golden West College,Huntington Beach,CA,92647-2710,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.goldenwestcollege.edu/,https://misweb.cccco.edu/npc/832/npcalc.htm,1,1,33.732531,-118.002568,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,10057,0.6544,1,1186,8386,\N,0.3012,29400,33608,31200,37300,34653,36500,40100,40227
115214,120700,1207,Graduate Theological Union,Berkeley,CA,94709,Commission on Accrediting of the Association of Theological Schools,www.gtu.edu/,www.gtu.edu/,1,2,37.87554,-122.261847,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,0.5714,\N,\N,\N,\N,\N,\N,\N,\N
115296,120800,1208,Grossmont College,El Cajon,CA,92020-1799,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,https://www.grossmont.edu/,https://misweb.cccco.edu/npc/022/npcalc.htm,1,1,32.815246,-117.006277,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13518,0.6601,1,1332,8556,\N,0.3902,29000,29762,33400,34000,33600,36200,39400,38113
115357,2211000,22110,Salon Success Academy-Riverside,Riverside,CA,92506,National Accrediting Commission of Career Arts and Sciences,www.salonsuccessacademy.com/,www.salonsuccessacademy.com/wp-content/uploads/2021/09/Riverside.html,1,3,33.943149,-117.391024,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,125,0,1,\N,\N,20000,\N,17900,21399,\N,18800,18820,\N,24400,24083
115393,120900,1209,Hartnell College,Salinas,CA,93901,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.hartnell.edu/,https://misweb.cccco.edu/npc/451/npcalc.htm,1,1,36.675091,-121.666054,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7509,0.5544,1,1400,8960,\N,0.3963,28000,32992,28700,32100,36970,32800,38000,40095
115409,117100,1171,Harvey Mudd College,Claremont,CA,91711,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.hmc.edu/,https://npc.collegeboard.org/student/app/hmc,1,2,34.106515,-117.709837,0.1796,0.1796,720,770,770,800,680,760,745,785,720,34,35,34,36,33,36,\N,\N,35,35,35,\N,1534,827,0.0073,1,58660,58660,\N,0.8929,87200,112059,68100,99300,112639,79700,104200,108988
115658,2285100,22851,Hilltop Beauty School,Daly City,CA,94014,National Accrediting Commission of Career Arts and Sciences,www.hilltopbeautyschool.com/,www.hilltopbeautyschool.com/cosmetology-gedt/,1,3,37.705502,-122.461467,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,104,0.3654,1,\N,\N,13495,\N,23700,23369,22900,25600,28779,22900,27100,25409
115728,118300,1183,Holy Names University,Oakland,CA,94619-1699,Western Association of Schools and Colleges Senior Colleges and University Commission,www.hnu.edu/,https://hnu.edu/admissions-aid/financial-aid/net-price-calculator/,1,2,37.802276,-122.187804,0.8912,0.8912,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,703,0.1593,1,40904,40904,\N,0.2186,49000,56544,52600,51600,58379,54500,57600,60573
115746,3126800,31268,Pacifica Graduate Institute,Carpinteria,CA,93013,Western Association of Schools and Colleges Senior Colleges and University Commission,www.pacifica.edu/,www.pacifica.edu/,1,3,34.420881,-119.580414,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,0.171,\N,\N,\N,\N,\N,\N,\N,\N
115755,114900,1149,California State Polytechnic University-Humboldt,Arcata,CA,95521-8299,Western Association of Schools and Colleges Senior Colleges and University Commission,www.humboldt.edu/,https://finaid.humboldt.edu/sites/default/files/calculator/,1,1,40.877481,-124.078293,0.8514,0.8514,490,610,480,580,\N,\N,550,530,\N,17,25,16,24,17,24,\N,\N,21,20,21,\N,1081,5991,0.1257,1,7858,19738,\N,0.5782,30200,34180,32000,35300,39245,37200,40100,42726
115773,121200,1212,Humphreys University-Stockton and Modesto Campuses,Stockton,CA,95207-3896,Western Association of Schools and Colleges Senior Colleges and University Commission,www.humphreys.edu/,www.humphreys.edu/admissions-aid/financial-aid/net-price-calculator/,2,2,38.011489,-121.316918,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,226,0.5133,1,14580,14580,\N,0.1284,29500,31020,27400,31100,32705,31300,33200,36499
115861,121400,1214,Imperial Valley College,Imperial,CA,92251-0158,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.imperial.edu/,www.imperial.edu/students/financial-aid-and-scholarships/cost-of-attendance/,1,1,32.827209,-115.503563,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,6156,0.4924,1,1126,6046,\N,0.5438,22600,24718,24600,26900,27845,29200,31000,30438
115931,2128300,21283,Institute for Business and Technology,Santa Clara,CA,95051-1303,Accrediting Commission of Career Schools and Colleges,https://ibt.edu/,https://ibt.edu/net-price-calculator/,3,3,37.368642,-121.969541,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,579,0,1,\N,\N,16103,0.48,31100,34221,33300,33000,33186,37200,37900,37638
116226,2520300,25203,Interior Designers Institute,Newport Beach,CA,92660,Accrediting Commission of Career Schools and Colleges,https://www.idi.edu/,https://www.idi.edu/NetPriceCalculator/npcalc.html,1,3,33.641393,-117.865722,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,139,0.5827,1,20250,20250,\N,\N,40000,46708,39300,46200,43890,38100,46300,41541
116350,2255400,22554,International School of Cosmetology,Los Angeles,CA,90036,National Accrediting Commission of Career Arts and Sciences,www.toniguy.edu/,scottsdale.toniguy.edu/net-price-calculator,3,3,34.080053,-118.361176,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,139,0,1,\N,\N,20900,\N,24500,22196,\N,\N,24376,19500,\N,19822
116439,2539500,25395,Irvine Valley College,Irvine,CA,92618-0301,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.ivc.edu/,https://misweb.cccco.edu/npc/892/npcalc.htm,2,1,33.675381,-117.777539,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,10255,0.5987,1,1146,8346,\N,0.2881,33600,34044,34100,36300,39918,41500,43800,43400
116563,1202600,12026,Bellus Academy-El Cajon,El Cajon,CA,92021,National Accrediting Commission of Career Arts and Sciences,www.bellusacademy.edu/,https://www.bellusacademy.edu/wp-content/uploads/2021/03/EC-Net-Price-Template.html,1,3,32.794072,-116.94627,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,184,0,1,\N,\N,13590,\N,20300,22941,22700,23900,24141,20800,27300,25092
116846,274100,2741,American Jewish University,Los Angeles,CA,90077-1519,Western Association of Schools and Colleges Senior Colleges and University Commission,www.aju.edu/,www.aju.edu/financial-aid/tuition-and-fees/net-price-calculator,1,2,34.128153,-118.471706,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,37,0.0811,1,32404,32404,\N,1,\N,\N,\N,\N,51155,\N,\N,47791
117052,130800,1308,Reedley College,Reedley,CA,93654,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.reedleycollege.edu/,https://misweb.cccco.edu/npc/572/npcalc.htm,1,1,36.605428,-119.458555,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4626,0.6969,1,1304,8264,\N,0.4342,24000,27081,24900,27500,30156,27700,31000,32061
117104,2270600,22706,Life Pacific University,San Dimas,CA,91773-3298,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.lifepacific.edu/,https://www.lifepacific.edu/netpricecalculator/npcalc.htm,2,2,34.098705,-117.829388,0.931,0.931,470,550,460,535,410,520,510,498,465,16,25,14,24,16,25,7,8,21,19,21,8,1015,487,0.1561,1,17434,17434,\N,0.1778,32800,32294,27700,33400,36835,34300,34400,43006
117140,121600,1216,University of La Verne,La Verne,CA,91750-4401,Western Association of Schools and Colleges Senior Colleges and University Commission,www.laverne.edu/,https://laverne.edu/financial-aid/npc/,1,2,34.100855,-117.773262,0.7625,0.7625,480,580,480,570,460,560,530,525,510,17,23,17,23,16,21,\N,\N,20,20,19,\N,1054,4118,0.2122,1,45850,45850,\N,0.4072,45800,48057,46200,49000,53155,54700,52700,56663
117168,2330500,23305,Laguna College of Art and Design,Laguna Beach,CA,92651,Western Association of Schools and Colleges Senior Colleges and University Commission,www.lcad.edu/,https://www.lcad.edu/admissions/tuition-financial-aid/net-price-calculator,1,2,33.561448,-117.772564,0.8292,0.8292,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,732,0.1325,1,32600,32600,\N,0.2121,32200,34650,33300,40000,45458,41900,41400,46602
117195,1290700,12907,Lake Tahoe Community College,South Lake Tahoe,CA,96150,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.ltcc.edu/,https://misweb.cccco.edu/npc/221/npcalc.htm,1,1,38.926797,-119.972574,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2046,0.7028,1,1131,8079,\N,0.2036,25900,28148,24900,28500,32280,31900,31400,40805
117238,1301000,13010,Lancaster Beauty School,Lancaster,CA,93534,National Accrediting Commission of Career Arts and Sciences,lancasterbeautyschool.com/,www.lancasterbeautyschool.com/about/net-price-calculator/,1,3,34.694914,-118.147547,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,\N,1,\N,\N,16475,\N,15100,17637,18400,18700,18117,16800,22600,19349
117247,126600,1266,Laney College,Oakland,CA,94607,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,laney.edu/,https://laney.edu/nchau/net-price-calculator/,1,1,37.797257,-122.26283,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,6901,0.7806,1,1167,7527,\N,0.3255,25900,29727,27700,30500,34032,32700,34400,33631
117274,121700,1217,Lassen Community College,Susanville,CA,96130,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.lassencollege.edu/,https://misweb.cccco.edu/npc/131/npcalc.htm,1,1,40.432053,-120.633271,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1619,0.7134,1,1127,7847,\N,0.3578,25300,29234,28100,29900,30395,29600,35400,30396
117283,4284300,42843,Latin American Bible Institute,La Puente,CA,91746-3099,Association for Bibical Higher Educaiton,labi.edu/,https://solutions.campusivy.com/Apps/NPC?InstitutionId=38200,1,2,34.030992,-117.989601,0.7273,0.7273,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,60,0.3833,1,7200,7200,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
117520,2228500,22285,Life Chiropractic College West,Hayward,CA,94545-2800,Western Association of Schools and Colleges Senior Colleges and University Commission,www.lifewest.edu/,www.lifewest.edu/prospective-students/financial-aid/cost-of-program/,1,2,37.638099,-122.117619,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,0.4205,\N,\N,\N,\N,\N,\N,\N,\N
117557,697500,6975,Lincoln University,Oakland,CA,94612-2801,\N,https://lincolnuca.edu/,file.lincolnuca.edu/2021/Spring 2021/Others/npcalc.html,1,2,37.804788,-122.269745,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,88,0.1023,0,11390,11390,\N,0.5,\N,51432,\N,\N,52345,\N,\N,\N
117575,3332300,33323,Southern California Seminary,El Cajon,CA,92019-1108,Transnational Association of Christian Colleges and Schools,www.socalsem.edu/,www.socalsem.edu/admissions/financial-aid/,1,2,32.799614,-116.905461,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,50,0.86,1,16884,16884,\N,0.3333,\N,\N,\N,\N,48286,\N,\N,\N
117627,121500,1215,La Sierra University,Riverside,CA,92505-8247,Western Association of Schools and Colleges Senior Colleges and University Commission,https://lasierra.edu/,https://lasierra.edu/sfs/scholarships/,1,2,33.910704,-117.500054,0.5697,0.5697,470,590,470,580,420,510,530,525,465,15,23,14,23,14,23,\N,\N,19,19,19,\N,1048,1462,0.093,1,35208,35208,\N,0.4387,43600,40563,42400,49000,49424,49300,54600,55004
117636,121800,1218,Loma Linda University,Loma Linda,CA,92350,Western Association of Schools and Colleges Senior Colleges and University Commission,www.llu.edu/index.html,www.llu.edu/explore/step1.html,1,2,34.051241,-117.260605,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1013,0.1461,1,\N,\N,\N,0.939,71200,78124,80100,84200,79287,77100,93600,83878
117645,121900,1219,Long Beach City College,Long Beach,CA,90808-1706,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.lbcc.edu/,https://misweb.cccco.edu/npc/841/npcalc.htm,1,1,33.833593,-118.135633,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,21634,0.5749,1,1556,11144,\N,0.334,26100,30553,28200,30000,32958,31300,33800,34772
117672,122900,1229,Southern California University of Health Sciences,Whittier,CA,90604,Western Association of Schools and Colleges Senior Colleges and University Commission,www.scuhs.edu/,www.scuhs.edu/financial-aid/,1,2,33.922966,-117.983401,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,164,1,1,\N,\N,\N,0.3067,\N,49207,\N,\N,67722,\N,\N,\N
117690,122400,1224,Los Angeles Harbor College,Wilmington,CA,90744-2397,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.lahc.edu/,https://misweb.cccco.edu/npc/742/npcalc.htm,1,1,33.785825,-118.283549,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,6694,0.7589,1,1238,8570,\N,0.2875,30200,31768,32000,35900,34971,33500,38900,39179
117706,122600,1226,Los Angeles Pierce College,Woodland Hills,CA,91371-0002,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.piercecollege.edu/,https://misweb.cccco.edu/npc/744/npcalc.htm,1,1,34.183949,-118.575071,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15248,0.6973,1,1238,8570,\N,0.3715,29600,31986,31900,35400,36680,37700,41700,41793
